id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0818600.1 5.08 0.91 0.59 1.24 3.69 8.63 13.05 8.67
PF3D7_0819200.1 0.05 0.09 0.12 0.31 1.57 2.14 1.51 0.49
PF3D7_0819400.1 0.03 0.03 0.03 0.08 0.65 0.24 0.64 0.31
PF3D7_0822700.1 0.18 0.08 0.08 0.19 1.27 5.14 4.1 0.74
PF3D7_0827900.1 7.18 18.05 40.13 155.55 614.16 1083.23 1640.72 780.38
PF3D7_0828800.1 23.96 5.02 0.87 0.62 1.35 1.96 2.11 6.89
PF3D7_0829600.1 0.18 0.07 0.16 0.24 0.42 1.47 3.54 4.24
PF3D7_0830300.1 0.15 0.13 0.17 0.42 6.62 15.95 7.89 1.08
PF3D7_0830400.1 24.54 23.85 31.98 78.5 304.72 322.34 264.43 112.91
PF3D7_0831600.1 2.41 0.38 0.12 0.15 0.41 1.22 9.92 40.1
PF3D7_0831700.1 34.28 82.93 119.68 240.37 647.44 937.51 465.66 64.2
PF3D7_0832000.1 0.06 0.05 0.07 0.72 13.38 8.08 3.37 0.52
PF3D7_0832400.1 0.01 0 0.03 0 0.58 0.41 0.15 0.14
PF3D7_0832500.1 0 0.01 0.01 0.05 0.65 0.29 0.14 0.04
PF3D7_0832600.1 0.01 0 0.03 0.46 0.39 0.59 0.29 0
PF3D7_0832900.1 0.02 0.01 0.01 0.12 1.57 1.34 0.38 0.1
PF3D7_0833000.1 0 0 0.02 0.05 0.24 0.17 0.13 0.04
PF3D7_0833100.1 0 0.02 0.02 0.05 0.29 0.09 0.13 0.08
PF3D7_0833200.1 0 0 0.01 0 0.05 0.09 0.07 0.08
PF3D7_0833400.1 0.01 0.01 0.01 0.03 0.36 0 0.14 0.77
PF3D7_0900200.1 0.08 0.21 0.34 1.06 1.7 0.84 1.36 3.66
PF3D7_0900300.1 0.03 0.04 0.02 0.02 0.1 0 0.06 0.16
PF3D7_0900500.1 1.97 0.48 0.12 0.29 1.31 0.28 0.62 4.62
PF3D7_0900600.1 0.02 0 0.03 0.03 0.19 0 0.13 0.12
PF3D7_0900700.1 0.01 0 0.01 0.03 0.14 0.08 0.24 0
PF3D7_0900900.1 0 0 0.01 0 0.18 0 0 0
PF3D7_0901000.1 0.01 0 0.01 0 0.23 0.2 0.15 0.05
PF3D7_0901100.1 0.01 0 0 0.02 0 0 0.07 0
PF3D7_0901400.1 0.01 0 0 0.07 0 0.18 0 0.08
PF3D7_0901500.1 0.04 0.01 0.03 0.16 0.53 0.43 0.25 0
PF3D7_0901600.1 0 0.01 0.01 0.02 0.12 0.41 0.23 0.05
PF3D7_0901700.1 0.52 0.29 0.3 5.41 81.24 143.15 155.97 58.16
PF3D7_0902000.1 1.18 1.18 1.61 3.51 24.46 29.36 14.48 2.24
PF3D7_0902200.1 2.23 2.2 3.81 15.6 55.26 52.22 28.98 9.91
PF3D7_0902400.1 0.4 0.27 0.23 0.32 3.94 12.69 14.79 5.39
PF3D7_0902500.1 17.8 10.58 12.06 11.24 10.11 4.68 3.14 2.3
PF3D7_0902600.1 0.42 0.69 1.66 5.76 12.61 18.76 12.64 3.36
PF3D7_0903800.1 0.07 0.05 0.07 0.22 0.7 1.1 1.18 0.31
