id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_1003200.1 0.42 0.15 0.18 1.09 12.34 24.89 26.75 6.38
PF3D7_1005300.1 0.04 0.05 0.06 0.14 0.21 0.92 1.56 0.67
PF3D7_1006300.1 0.22 0.17 0.32 1.02 3.58 5.03 4.85 0.91
PF3D7_1007000.1 0.44 1.8 5.73 21.24 68.58 98.13 101.67 49.14
PF3D7_1008500.1 1.58 1.14 1.44 3.83 8.95 17.59 42.18 36.03
PF3D7_1009100.1 0.15 0.04 0.11 0.33 0.99 1.03 1.08 0.31
PF3D7_1009600.1 0.16 0.12 0.41 2.63 23.75 35.63 23.78 4.78
PF3D7_1010700.1 1.62 5.19 13.2 52.93 198.75 266.23 270.27 113.47
PF3D7_1013000.1 0.98 0.49 0.89 2.94 16.02 17.17 20.36 13.62
PF3D7_1013300.1 0.35 0.63 1.5 4.86 23.29 35.06 48.99 16.42
PF3D7_1013700.1 0.81 0.1 0.12 0.73 9.34 16.9 22.89 15.04
PF3D7_1014100.1 29.11 5.25 0.79 0.36 0.2 0.24 0.51 16.14
PF3D7_1014200.1 0.02 0.03 0.02 0.03 0.1 0.25 0.05 0.34
PF3D7_1016100.1 1 0.16 0.1 0.23 0.76 1.71 1.71 1.46
PF3D7_1018300.1 6.33 3.46 3.67 9.46 33.35 38.36 42.1 13.52
PF3D7_1019800.1 0.79 0.24 0.16 1 22.73 55.63 53.67 19.12
PF3D7_1021400.1 1.03 1.96 3.65 9.55 30.88 52.44 87.78 48.27
PF3D7_1023300.1 1.32 0.6 0.16 1.84 23.97 85.06 115.42 37.72
PF3D7_1024000.1 4.1 1.36 1.2 7.78 50.39 86.9 99.43 28.96
PF3D7_1024800.1 24.39 32.99 41.71 93.86 173.24 212.23 268.36 61.17
PF3D7_1029700.1 0.04 0.05 0.04 0.2 0.27 0.57 0.51 0.47
PF3D7_1030900.1 1.12 0.17 0.18 0.4 1.14 2.3 6.58 12.79
PF3D7_1031900.1 0.09 0.06 0.09 0.17 2.69 8.18 7.66 2.53
PF3D7_1033800.1 0.07 0.05 0.07 0.17 0.35 0.77 1.24 0.29
PF3D7_1034100.1 0.17 0.09 0.15 0.33 2.27 9.83 18.64 7.41
PF3D7_1034200.1 0.11 0.06 0.1 0.27 3.14 12.45 19.8 15.72
PF3D7_1035100.1 3.01 0.52 0.12 0.16 0.19 0.56 28.02 61.46
PF3D7_1035800.1 0.28 0.22 1.24 9.17 18.38 10.34 4.31 1.65
PF3D7_1035900.1 42.17 7.48 1.13 0.79 1.97 2.5 16.16 104.73
PF3D7_1036400.1 0.82 0.2 0.03 0.06 0.11 0.08 0.16 0.11
PF3D7_1038000.1 110.15 108.49 153.22 367.89 1379.84 2229.73 3379.08 2680.78
PF3D7_1038000.2 110.15 108.49 153.22 367.89 1379.84 2229.73 3379.08 2680.78
PF3D7_1103500.1 0.11 0.14 0.18 0.25 0.91 1.24 1.79 0.4
PF3D7_1104400.1 2.34 7.2 15.24 45.79 115.11 190.65 369.39 161.05
